ID|CODE|MANU_INFO|DESCRIPTION|BUILDINGID
1177|D217A|46222|WHM 103, HVAC TOOL LOCKER  8|66
1178|D218A|66422|WHM 103, HVAC TOOL LOCKER 34|66
1179|D219A|66426|WHM 103, HVAC TOOL LOCKER 30|66
1180|D220A|66466|WHM 103, HVAC TOOL LOCKER 26|66
1181|D1|LE64321X|AUDITORIUM FRONT LOBBY DOORS|16
1182|D10    (A)|LF|AUDITORIUM FOYER EAST|16
1183|D10|D10A|MULTI IMAGE CONTROL|14
1184|D100|LE60323X|STUDIO B|16
1185|D221A|66462|WHM 103, HVAC TOOL LOCKER 29|66
1186|D101|LE68334X|CENTER LIGHT RM, INNER|16
1187|D222A|62462|WHM 103, HVAC TOOL LOCKER  2|66
1188|D102|LE68347X|CENTER LIGHT RM, OUTER|16
1189|D223A|62466|WHM 103, HVAC TOOL LOCKER 32|66
1190|D103|LE60334X|STUDIO A|16
1191|D224A|62426|WHM 103, HVAC TOOL LOCKER 13|66
1192|D104|LL66134X|CONTROL A|16
1193|D225A|62422|WHM 103, HVAC TOOL LOCKER 33|66
1194|D105|LE66145X|STUDIO A CLOSET|16
1195|D226A|26422|WHM 103, HVAC TOOL LOCKER 35|66
1196|D106|LE66127X|STUDIO HALL, INNER|16
1197|D107|LE68136X|W-E LADIES|16
1198|D108|LE60332X|COSTUME ROOM|16
1199|D109|LE64367X|LAUNDRY ROOM|16
1200|D11|LE66156X|AUDITORIUM FOYER CENTER|16
1201|D110|LE64147X|MATERIAL CLOSET|16
1202|D111|LE64932X|W-3 REAR LIGHT ROOM|16
1203|D112|LE64965X|W-3 CENTER LIGHT ROOM|16
1204|D113|D113|TELECOMMUNICATIONS FILE|12
1205|D114|LE64934X|FORWARD LIGHT ROOM|16
1206|D115|LE64152X|WARDROBE|16
1207|D117   (A)|LE66141X|E-301|16
1208|C692747|||
1209|D118|LE60343X|E-3 REAR LIGHT RM|16
1210|D119|LE66147X|E-302|16
1211|D12|LE66172X|AUDITORIUM FOYER WEST|16
1212|D120|LE66125X|E-3 HALL CLOSET|16
1213|D121|LE68323X|E-303|16
1214|D122|LE68376X|E-303 CLOSET|16
1215|D123|LE66327X|WHM NEW STAGE WAREHOUSE|148
1216|D124|LE66121X|C-3 CENTER LIGHT RM|16
1217|D125|LE60356X|E3 HALL|16
1218|D126|LE64943X|W-4 HALL|16
1219|D127|LE68132X|W-4 MEN|16
1220|D128|LE64154X|W-4 CLOSET|16
1221|D129|LE66961X|W-401|16
1222|D13|LE66112X|AUDITORIUM FOYER WEST EXIT|16
1223|D130|LE68116X|W-402|16
1224|D131|LE68123X||16
1225|D132|LE66375X|E-4 HALL|16
1226|D133|LE64125X|E-4 LADIES|16
1227|D134|LE64163X|E-4 CLOSET|16
1228|D134X|NATIONAL|MICROFICHE CAB|36
1229|D135|LE64132X|E-4 ORGAN LOFT|16
1230|D136|LE64161X|E-401|16
1231|D137|LE64123X|E-402|16
1232|D138|LE64141X|E-403|16
1233|D139|LE64961X|E-404|16
1234|D14|LE66114X|AUDITORIUM FOYER EAST EXIT|16
1235|D140|D140|ALUMNI ROOM 221 FILE CABINET|37
1236|D141   (A)|D141|ADMIN RO IBM CARD FILE|3
1237|D142|LE66932X|E-407|16
1238|D142A|20222|BIOLOGY LAB DRAWER F14|60
1239|D143|LE64972X|W-5 HALL|16
1240|D143A|20200|BIOLOGY LAB DRAWER G7|60
1241|D144|LE66963X|W-501|16
1242|D145|LE64974X|W-5  CLOSET|16
1243|D145A|2202|BIOLOGY LAB DRAWER E2|60
1244|D146|LE66952X|W-502|16
1245|D146A|20020|BIOLOGY LAB DRAWER E12|60
1246|D147|LE64936X|W-503|16
1247|AL41|LB56785|ANNEX MARILYN HILL'S OLD OFF.|40
1248|FR309|CHICAGO|ACADEMY OFFICE M-3 DESK|62
1249|P423|MASTER|LOCKOUT PADLOCK|67
1250|P425|MASTER|LOCKOUT PADLOCK|66
1251|HON109 (A)|ESP|ACADEMY FILE CABINET|62
1252|C105A|42646|FINE ARTS RTV FILE CABINET|13
1253|C692747|||
1254|D055A|44662|SCIENCE ROOM 202 CABINET|18
1255|FR367|CHICAGO|ACADEMY ROOM M-108 DESK|62
1256|C018A|66244|SAS TRADE TOOL ROOM CABINET|47
1257|C021A|62464|CVA A WING CHINA CABINETS|39
1258|P227|MASTER|CVA A WING 4TH FLOOR CHINA CB|39
1259|B620  (AG)|CHICAGO|M&G @ BJU OFFICE DESK|12
1260|C026A|66226|STRATTON HALL STAGE CABINETS|14
1261|C027A|66266|STRATTON HALL AUDIO CABINETS|14
1262|SCL39|32245|LINC STORAGE CABINET|47
1263|43243|43243|HOSPITAL KITCHEN CABINETS|20
1264|ESCP2|E892785|SHEPHERDS CARE ROOM 115|
1265|ML61|52767|WHM C18 CONSTRUCTION CABINETS|68
1266|CSB|LB54549|WHM COMP SUP/DEV TEAM MASTER|67
1267|CS15|LB54949|REVEAL INFO TECH TEAM|30
1268|1305|SECO-LARM|WHM GATE OVERRIDE CONTROL|66
1269|JW28|LJ12105|NOT IN USE, KEY STOLEN|39
1270|P224|MASTER|LOCKOUT PADLOCK|159
1271|FJ12|LA74345|WOMEN'S DORMS LUGGAGE DOORS|10
1272|HN12|LA58743|MEN'S DORMS LUGGAGE DOORS|31
1273|3601|MASTER|VENDING FREEZER PADLOCK|159
1274|P488|MASTER|DINING COMMON MEAT ROOM CAB|159
1275|BE99|LA58749|PRIMARY CENTER CAFE DOORS|66
1276|P603|MASTER|LOCKOUT PADLOCK|66
1277|GB2|LA58789|GARRETT COLONIAL LIFE GENERAL|150
1278|P503|MASTER|LOCKOUT PADLOCK|66
1279|P493|MASTER|LOCKOUT PADLOCK|66
1280|D147A|2200|BIOLOGY LAB DRAWER E3|60
1281|D148|LE68141X|W-BEAM LIGHT|16
1282|D148A|2020|BIOLOGY LAB DRAWER C15|60
1283|D149|LE64352X|WAREHOUSE STAGE|16
1284|D149A|2002|BIOLOGY LAB DRAWER B12|60
1285|D15|LE60374X|AUDITORIUM WEST BACK EXIT|16
1286|JAA164|LA18369|UP APARTMENT  65|55
1287|D150A|20002|BIOLOGY LAB DRAWER C6|60
1288|D151|LE64116X|AUDITORIUM PERFORMER DOORS|16
1289|D151A|24424|BIOLOGY LAB DRAWER G8|60
1290|D152A|24464|BIOLOGY LAB DRAWER D9|60
1291|D153A|64464|BIOLOGY LAB DRAWER A9|60
1292|D156A|66444|BIOLOGY LAB DRAWER E11|60
1293|D157A|26444|BIOLOGY LAB DRAWER B11|60
1294|D159A|46644|BIOLOGY LAB DRAWER C5|60
1295|D16|LE60367X|AUDITORIUM WEST FRONT EXIT|16
1296|D160A|42644|BIOLOGY LAB DRAWER D8|60
1297|C692747|||
1298|D161A|42244|BIOLOGY LAB DRAWER F6|60
1299|D162A|22264|BIOLOGY LAB DRAWER G9|60
1300|D163A|22664|BIOLOGY LAB DRAWER F13|60
1301|D168A|26664|BIOLOGY LAB DRAWER F15|60
1302|D169A|66664|BIOLOGY LAB DRAWER B2|60
1303|D17|LE60363X|AUDITORIUM EAST CENTER EXIT|16
1304|D177A|42424|BIOLOGY LAB DRAWER C14|60
1305|D178A|46464|BIOLOGY LAB DRAWER F5|60
1306|D18|LE60365X|AUDITORIUM EAST BACK EXIT|16
1307|D181A|46446|BIOLOGY LAB DRAWER A8|60
1308|D182A|42446|BIOLOGY LAB DRAWER B3|60
1309|D19|LE64165X|AUDITORIUM EAST NORTH EXIT|16
1310|D20|LE68312X|AUDITORIUM WEST NORTH EXIT|16
1311|D21|LE66372X|BALCONY FOYER 3|16
1312|D21A|D21A|BJES CAFETORIUM FOLDING DOORS|43
1313|D23|LE66316X|STORAGE RM NEAR RH|16
1314|D24|LE66116X|BALCONY FOYER 3 CLOSET|16
1315|D25|LE60325X|BALCONY FOYER 4 USHER S RO|16
1316|D26|LE64374X|BALCONY FOYER 4 CLOSET|16
1317|D27|LE66356X|BALCONY FOYER 5 CHECK ROOM|16
1318|D28|LE68361X|BALCONY FOYER 6|16
1319|C144A|220|WEST GATE SUPERVISOR DRAWERS|34
1320|SE11|LG52769|SEMINARY CONTROL ROOM|157
1321|D31|LE68354X|LIGHT BOOTH|16
1322|D3125|D3125|SNACK SHOP BACK OFFICE SAFE|14
1323|D34|LE64135X|AUDITORIUM WEST 202|16
1324|D37|LE64121X|NEXT TO INSTRUMENT ROOM|16
1325|D38|LE66941X|INSTRUMENT RM|16
1326|D39|U06851|LIGHT STORAGE|16
1327|D4|LE68343X|AUDITORIUM CAMERA CHECK LEFT|16
1328|D40|LE64134X|HALL TO SCENE STORAGE|16
1329|D41|LE64334X|FURNITURE RM|16
1330|D413A|4426|BIOLOGY LAB DRAWER A14|60
1331|D415A|2464|BIOLOGY LAB DRAWER E6|60
1332|D418A|2644|BIOLOGY LAB DRAWER B7|60
1333|D42|LE66161X|BLOWER AND PUMP RM|16
1334|D420A|4646|BIOLOGY LAB DRAWER E15|60
1335|D421A|4664|BIOLOGY LAB DRAWER C9|60
1336|D429A|2026|BIOLOGY LAB DRAWER A13|60
1337|D431A|426|BIOLOGY LAB DRAWER G4|60
1338|D433A|20446|BIOLOGY LAB DRAWER A4|60
1339|D435A|20246|BIOLOGY LAB DRAWER A5|60
1340|D44|LE64947X|CORRIDOR TO AIR TUNNEL|16
1341|D440A|20464|BIOLOGY LAB DRAWER B15|60
1342|JW45|LB52305|CVA A-101|
1343|D441A|20426|BIOLOGY LAB DRAWER D5|60
1344|D443A|20266|BIOLOGY LAB DRAWER B8|60
1345|D444A|22026|BIOLOGY LAB DRAWER D13|60
1346|D447A|20026|BIOLOGY LAB DRAWER C10|60
1347|D46|LE64347X|HALL TO REHERSAL HALL|16
1348|D47|LE60352X|PROPERTY RM|16
1349|D48|LE66154X|REHEARSAL HALL STAIR|16
1350|D48A|LE64145X|BACK DOOR TO U.F.|16
1351|D49|LE64114X|SCENE STORAGE OUTSIDE|16
1352|D49X|LE64976X|PAINT RM|16
1353|D5|LE60316X|AUDITORIUM CAMERS CHECK RIGHT|16
1354|D50|LE64136X|CURTAIN RM|16
1355|D502A|464|BIOLOGY LAB DRAWER D12|60
1356|D503|D503|ACADEMY OFFICE M-1 FILE|62
1357|D503A|4464|BIOLOGY LAB DRAWER C11|60
1358|D505A|4226|BIOLOGY LAB DRAWER G3|60
1359|D508A|2045|BIOLOGY LAB DRAWER F10|60
1360|D509A|2426|BIOLOGY LAB DRAWER F1|60
1361|D51|LE68367X|E 1 HALL FROM STAIRS|16
1362|D512A|2646|BIOLOGY LAB DRAWER F9|60
1363|D513A|264|BIOLOGY LAB DRAWER C1|60
1364|D514A|2664|BIOLOGY LAB DRAWER D4|60
1365|D515A|2264|BIOLOGY LAB DRAWER C2|60
1366|D518A|20046|BIOLOGY LAB DRAWER D3|60
1367|D52|LE68325X|TOILET E 1|16
1368|D520A|20226|BIOLOGY LAB DRAWER E7|60
1369|D525A|20466|BIOLOGY LAB DRAWER E8|60
1370|D53X|LE86935X|COSTUME AND MAKEUP ROOMS|16
1371|D54|LE60314X|E 102|16
1372|D55|LE66314X|E-103|16
1373|D55X|LE66354X|E-103 CLOSET|16
1374|D554A|22046|BIOLOGY LAB DRAWER F12|60
1375|D555A|20264|BIOLOGY LAB DRAWER D14|60
1376|D56|LE66936X|HALL TO 2 ROLL, STAGE RIGH|16
1377|D56X|LE64127X|STAGE TO 1 ROLL, STAGE R.|16
1378|D57|LE68345X|E-104|16
1379|D570A|22|BIOLOGY LAB DRAWER F4|60
1380|D571A|26|BIOLOGY LAB DRAWER E1|60
1381|D572A|222|BIOLOGY LAB DRAWER D6|60
1382|D573A|226|BIOLOGY LAB DRAWER E10|60
1383|D574A|266|BIOLOGY LAB DRAWER C4|60
1384|D575A|666|BIOLOGY LAB DRAWER D15|60
1385|D576A|2222|BIOLOGY LAB DRAWER A15|60
1386|D577A|2226|BIOLOGY LAB DRAWER B1|60
1387|D578A|2266|BIOLOGY LAB DRAWER G6|60
1388|D579A|2666|BIOLOGY LAB DRAWER A6|60
1389|D58|LE60321X|E-104 CLOSET|16
1390|D58X|LE60336X|E-104 REST ROOM|16
1391|D58Z|LE68327X|REST ROOMS TO TOILET|16
1392|D580A|22226|BIOLOGY LAB DRAWER F2|60
1393|D581A|22266|BIOLOGY LAB DRAWER E9|60
1394|D582A|22666|BIOLOGY LAB DRAWER F3|60
1395|D583A|26666|BIOLOGY LAB DRAWER A7|60
1396|D584A|44|BIOLOGY LAB DRAWER C3|60
1397|D585A|444|BIOLOGY LAB DRAWER C12|60
1398|D586A|4444|BIOLOGY LAB DRAWER F11|60
1399|D587A|22246|BIOLOGY LAB DRAWER D7|60
1400|D588A|22466|BIOLOGY LAB DRAWER C13|60
1401|D589A|22446|BIOLOGY LAB DRAWER B9|60
1402|D59|LE66376X|E-105|16
1403|D59X|LE66345X|E-105 TO REST ROOM|16
1404|D590A|24466|BIOLOGY LAB DRAWER G5|60
1405|D591A|24666|BIOLOGY LAB DRAWER B10|60
1406|D6|LE60345X|AUDITORIUM CAMERA CHECK INNER|16
1407|D60|LE60372X|E. STAGE - DRESSING RM|16
1408|D61|LE60376X|W. ENT., STAGE 8 DRESSING|16
1409|D62|LE66934X|REHRSL HALL TO SCENE STOR.|16
1410|D63|LE64174X|ORCHESTRA HALL, AIR TUNNEL|16
1411|D64|LE64954X|W-1 LAVATORY|16
1412|D65|LE68332X|GREEN RM, OUTER|16
1413|D66|LE64156X|W-1 MEN|16
1414|D67|LE66976X|W-1 LADIES|16
1415|D68|LE66321X|GREEN RM, INNER|16
1416|D69|LE68114X|GREEN RM, 2ND ROLL|16
1417|D7|LE64376X|AUDITORIUM BOX OFFICE LEFT|16
1418|JAA158|LA78169|UP APARTMENT  48|55
1419|D7C24|YALE|CIRCULATION DESK|36
1420|D70|LE68316X|GREEN RM TO STAGE|16
1421|D71|LE64172X|STAGE L. 1ST ROLL, E. WING|16
1422|D8|LE66343X|AUDITORIUM BOX OFFICE RIGHT|16
1423|D80|LE64941X|JANITOR S CLOSET|16
1424|D81|LE66974X|W-2 HALL|16
1425|D82|LE66965X|HALL TO SHOWER|16
1426|D83|LE68134X|W-2 REAR LIGHT ROOM|16
1427|D84|LE68143X|W-201|16
1428|D85|LE68112X|W-201 TO SHOWER|16
1429|D86|LE66967X|W-2 CENTER LIGHT RM|16
1430|D87|LE64967X|W-202|16
1431|MTR|C 692747|mason tool room|68
1432|D88|LE64952X|W. HALL TO CHOIR ROBE CLOS|16
1433|D89|LE66956X|W-203|16
1434|JW72|LB54105|CVA APARTMENT A-505|39
1435|D90|LE68125X|AUDIO BOOTH|16
1436|D91|LE66972X|W-203 LIGHT BOOTH|16
1437|D92|LE68121X|W-203 SHOWER|16
1438|D93|LE68127X|W-203 SHOWER TO TOILET, E.|16
1439|D94|LE66176X|W. TO BALCONY|16
1440|D95|LE66176X||16
1441|D96|LE66132X|E-2 LADIES|16
1442|D97|LE60361X|TO RADIO STUDIOS|16
1443|D98|LE66323X|REAR LIGHT ROOM|16
1444|D99|LE68321X||16
1445|EB021|EB021|PHOTO STORAGE|14
1446|EG|A5179Y|Ironside DORMATORY MASTER|33
1447|EG2|A2514Y|Ironside SUPER NOT IN USE NOW|33
1448|FR364|STEELCASE|ANNEX PUBLIC SAFETY DESK|67
1449|EG12|LA54143|DORMATORY HUB/PHONE ROOM CLOSET IN DISTANCE|31
1450|EH2|A3217Y|SMITH SUPERVISOR APART-NIU|32
1451|EH11|LA94143|SMITH COUNSELOR, ROOM 218|32
1452|EJ|A1879Y|JOHNSON DORMATORY MASTER|29
1453|EJ10|A1868Y|JOHNSON SUPERVISOR APART-NIU|29
1454|BP534|BP534|WHM 111 PUBLIC SAFETY CABINET|67
1455|X220|MMF|CLEANERS CASH REGISTER|24
1456|EJ3|A1830Y|JOHNSON PRAYER ROOM|29
1457|EJ4|A1823Y|JOHNSON CLASSROOM|29
1458|EJ5|A1834Y|JOHNSON VENDING ROOM|29
1459|EJ6|A1816Y|JOHNSON STUDY LOUNGE - NIU|29
1460|EJ7|A1817Y|JOHNSON DORM MAINT OFFICE|29
1461|EJ8|A1813Y|JOHNSON LAUNDRY ROOM|29
1462|EJ9|A1821Y|JOHNSON PRACTICE STUDIOS|29
1463|FH265|LC52763|417 LIBRARY DR GUEST MASTER|35
1464|PR23|LA56785|WHM 204A PRESS TESTING OFFICE|67
1465|PR24|LA76785|WHM 204A Marketing Communications|67
1466|EN|A1279Y|BROKENSHIRE DORMATORY MASTER|31
1467|ER|A5279Y|REVEAL DORMATORY MASTER|30
1468|ER3|LB94743|REVEAL APARTMENT 5|30
1469|ER4|A1934Y|REVEAL EXTERIOR DOORS-NIU|30
1470|ER6|A1930Y|REVEAL EXTERIOR DOORS-NIU|30
1471|C048A|62622|WHM 108, DRAPERY TOOL DRAWER|67
1472|FO13|LA52745|SIDDONS ROOM 223|7
1473|3856|MASTER|lock out tag out|2
1474|ES125|ESP|CUSTODIAL KEY BOX|38
1475|ES175|ESP|VOLUME CONTROL HALL|15
1476|ES201|ESP|FINE ARTS RTV CABINET|13
1477|ES202|ESP|OVERHEAD STORAGE|21
1478|ES203|ESP|OUTSIDE WALKIN REFRIGERATOR|159
1479|ES204|ESP|WELD SHOP CABINET|34
1480|ETN|GA243522|REFRIGERATOR LOCK|159
1481|E041A|20402|MASTER FOR NATIONAL CAB LOCKS|62
1482|E010A|24044|HVAC TOOL LOCKER MASTER|67
1483|E14|LL68331X|PILFER GURAD ALARMS|14
1484|JL11|LG72143|Linc closet (pam miller)|47
1485|FH204|LC12769|46 PROF'S PLACE|101
1486|SE12|LG72769|SEMINARY VIDEO VIEWING ROOM|157
1487|110|4020|CLINIC OFFICE CASH DRAWER|150
1488|E41043|WEISER|SLIDING DOOR SPEC. RM|36
1489|457|MASTER|lock out hvac|2
1490|ESCP3|E292785|SHEPHERDS CARE ROOM 118|
1491|36|5046|WHM 112, CENTRAL RECEIVE WIND|67
1492|E49|LL49143X|PILFER GUARD BOOK S|14
1493|HON370|HUDSON|ANNEX ACAD OF HOME ED FILE|40
1494|117T|117T|SAS DEAN'S DESK|25
1495|C015A|26244|CHECKOUT DESK TTY PHONE BOX Girls maintenance key|31
1496|C531A|40264|ACADEMY BROWN 108 CABINETS|61
1497|TVC|TVC|APPLIED STUDIES, TV/VCR CART|25
1498|SE13|LG92769|SEMINARY OFFICE 217|157
1499|F452|MASTER|WEST GATE GUARDHOUSE LOCKERS|41
1500|F|LE81600X|UNUSUAL FILMS SPECIAL MASTER|16
1501|18|6336|ALUMNI MEDIA CENTER CABINETS|37
1502|AL8|A2235R|ANNEX HUMAN RES. INT. OFFICES|40
1503|FA257|LC96183|FINE ARTS MUSIC LIBRARY|13
1504|34|7836|PERFORMANCE HALL LIGHT BOOTH|6
1505|FA259|LC94989|FINE ARTS EAST EQUIPMENT ROOM|13
1506|ER38|LA96143|REVEAL ROOM 230|30
1507|D030A|62266|REVEAL A&O OFFICE CABINET|30
1508|FA261|LC98789|FINE ARTS RTV STUDIOS|13
1509|FA262|LC78789|FINE ARTS BASEMENT EQUIP ROOM|13
1510|FA256|LC76183|FINE ARTS STUDIO 139|13
1511|1349|MMF|ART AGENCY MONEY BOX|13
1512|3P1006|3P1006|ANNEX FILE CABINET|40
1513|F236|MASTER|FINE ARTS LOCKER MASTERKEY|13
1514|ER34|LA96343|REVEAL ROOM 227|30
1515|FO40|LA14145|SIDDONS APARTMENT 7|7
1516|450|MASTER|lock out hvac2|2
1517|ML37|72741|FINE ARTS KILN GAS VALVE LOCK|13
1518|UTB|MASTER|WHM 108 UPHOLSTERY TOOL BOX|67
1519|JAA251|LA76765|UP APARTMENT  52 & 54|55
1520|ER35|LA16343|REVEAL ROOM 229|30
1521|2522|MASTER|NOT IN USE AT PRESENT TIME|66
1522|ER36|LA56143|REVEAL ROOM 224|30
1523|PR|LA30585|WHM PRESS MASTER|68
1524|C020A|62424|FINE ARTS STUDIO 225 CABINETS|13
1525|GBA|LA38989|GARRETT UPPER LEVEL MASTER|150
1526|ER37|LA76143|REVEAL ROOM 228|30
1527|FA258|LC16183|FINE ARTS 118 MUSIC STORAGE harp FA 103|13
1528|FA215|LC52783|FINE ARTS STUDIO 123|13
1529|FA224|LC72183|FINE ARTS STUDIO 125|13
1530|AL31|LB54785|ANNEX PUBLIC SAFETY ENTRANCE|40
1531|AL21|LB52785|ANNEX ADMISSIONS FILE ROOM|40
1532|ALM|LB30585|ANNEX MASTERKEY|40
1533|FA239|LC54183|FINE ARTS STUDIO 126|13
1534|FA255|LC56183|FINE ARTS STUDIO 138|13
1535|AJS12|A2228Q|NOT IN USE AT PRESENT TIME|25
1536|AJS13|A2612Q|APPLIED STUDIES OFFICE A|25
1537|FA201|LC52789|FINE ARTS ART CLASSROOMS|13
1538|FA202|LC72789|FINE ARTS 20-B ART AGENCY OFF|13
1539|FA203|LC92789|FINE ARTS 20 ART AGENCY|13
1540|FA204|LC12789|FINE ARTS OFFICE 29 CHAIRMAN|13
1541|FA205|LC52989|FINE ARTS OFFICE 26|13
1542|FA206|LC72989|FINE ARTS OFFICE  28|13
1543|FA207|LC92989|FINE ARTS OFFICE 29|13
1544|FA208|LC12989|FINE ARTS OFFICE 25-A|13
1545|LX42|10L200|LOCKOUT PADLOCK|67
1546|501|501|ONE MAN LIFT|21
1547|P766|2145|MACK REFRIGERATOR PADLOCK|9
1548|JAA|LA30567|UNIVERSITY PLACE MASTER KEY|55
1549|JAA101|LA52769|UP APARTMENT  95|56
1550|C304A (AL)|22044|ALUMNI OFFICE 54 DESK|37
1551|JW21|LJ52705|CVA APARTMENT A-507|39
1552|FA238|LC14983|FINE ARTS STUDIO 128|13
1553|FA243|LC54383|FINE ARTS STUDIO 129|13
1554|JW22|LJ72705|CVA APARTMENT A-208|39
1555|FA223|LC52183|FINE ARTS OFFICE 130|13
1556|105R|ESP|WHM 211, ED SCHWARTZ'S DESK|68
1557|104R   (P)|ESP|WHM 211, JEFF SUTTON'S DESK|68
1558|102R|ESP|WHM 211, RECEPTIONIST'S DESKS|68
1559|117R|ESP|HOSPITAL FILE CABINET|20
1560|447|MASTER|lockout hvac 3|2
1561|108R   (M)|ESP|WHM 211, BUITER/MCKINSEY DESK|68
1562|2007|CHICAGO|DINING COMMON FREEZER|159
1563|C076A|44464|ADMIN DESK IN FORBES' OFFICE|3
1564|AL06|ALO6|PRINT SHOP KEY CABINET|23
1565|HON104|ESP|ED TECH DESK|47
1566|106R|ESP|WHM 211, FILE CABINET|68
1567|1329|A-H|WHM 211, LILA GROVER'S DESK|68
1568|MD2|MILLER|WHM 211, CINKOWSKI DESK|68
1569|33|4836|FMA CAMERA CHECK WINDOW|15
1570|17312|ACE|NOT IN USE AT PRESENT TIME|66
1571|17392|ACE|NOT IN USE AT PRESENT TIME|66
1572|FAM|LC30587|FINE ARTS MASTERKEY|13
1573|ESCP4|E694785|SHEPHERDS CARE ROOM 121|
1574|FA211|LC74989|FINE ARTS LOUNGE/SA EXTERIOR|13
1575|FA209|LC52189|FINE ARTS OFFICE 16 and Kiln room|13
1576|FA210|LC54789|Fine arts 310|13
1577|FA212|LC74789|FINE ARTS DOOR TO ROOF HATCH|13
1578|PR11|LA58785|WHM 208 PRESS OFFICE (1075)|67
1579|PR12|LA78785|WHM 207 PRESS OFFICE|67
1580|PR13|LA98785|WHM 207 CUSTODIAL CLOSET|67
1581|PRA|LA38585|WHM 207 PRESS AUTHORS MASTER|67
1582|PR14|LA18785|WHM 207 PRESS OFFICE (LARSON)|67
1583|PR15|LA58985|WHM 208 SPECIAL PROJECTS OFF|67
1584|PR16|LA78985|WHM 208 SPECIAL PROJECTS|67
1585|PR17|LA98985|press operations office|67
1586|PR18|LA18985|WHM 208 PRESS CONFERENCE ROOM|67
1587|PR19|LA58185|WHM 208 PRESS OFFICE (WHITE)|67
1588|120R|ESP|UNIVERSITY DESK / FILES|68
1589|143R|ESP|WHM 210 PRESS FILE CABINET|68
1590|JW23|LJ92705|CVA APARTMENT A-309|39
1591|WINFIELD|MICROKEY|WINFIELD MICROKEY ELECTRONIC|66
1592|ESCP5|E894785|SHEPHERDS CARE ROOM 129|
1593|ML36|56143|TRANSPORTATION AIR COMPRESSOR|149
1594|JW24|LJ12705|CVA APARTMENT A-103|39
1595|C080A|44244|FINE ARTS ROOMS 21&22 CABINET|13
1596|JW25|LJ52105|CVA APARTMENT A-508|39
1597|JW26|LJ72105|CVA APARTMENT A-207|39
1598|JW27|LJ92105|CVA APARTMENT A-301|39
1599|JW114|LB56105|CVA APARTMENT A-204|39
1600|FA241|LC94183|FINE ARTS STUDIO 131|13
1601|JW29|LJ52305|CVA APARTMENT A-203|39
1602|JW30|LJ72305|CVA APARTMENT A-202|39
1603|FA244|LC74383|FINE ARTS STUDIO 132|13
1604|580|6123|ALUMNI MEDIA CENTER CABINETS|37
1605|EPD1|E612949|Parking deck stairway doors in student center|16
1606|C439A|26240|FINE ARTS STUDIO 131 DESK|13
1607|C467A|46640|FINE ARTS STUDIO 126 DESK|13
1608|C069A|26446|FINE ARTS STUDIO 136 DESK|13
1609|C471A|64420|FINE ARTS STUDIO 138 DESK|13
1610|C426A|2262|FINE ARTS STUDIO 145 DESK|13
1611|WHM2|LK44135X|WHM 111 MAINTENANCE OFFICES|67
1612|ALA|LB34585|ANNEX PUBLIC SAFETY MASTERKEY|40
1613|FA237|LC94983|FINE ARTS STUDIO 133|13
1614|ALB|LB34785|ANNEX PUBLIC SAFETY SUBMASTER|40
1615|FA216|LC72783|FINE ARTS STUDIO 134|13
1616|AL32|LB74785|ANNEX PUBLIC SAFETY OFFICES|40
1617|FA260|LC58789|103 FINE ARTS speech and communications|13
1618|FA242|LC14183|FINE ARTS STUDIO 135|13
1619|FA240|LC74183|FINE ARTS STUDIO 136|13
1620|PR31|LA54385|WHM 212 PRESS BUSINESS, CBT|68
1621|FA225|LC92183|FINE ARTS STUDIO 137|13
1622|C100A|46646|STUDENT CENTER SURVEY KIOSK|14
1623|FA213|LC94789|FINE ARTS EQUIP./SART HUB RM|13
1624|DP1|13535|REVEAL DATA FURNITURE MASTER|30
1625|74|WRIGHT|419 LIBRARY DRIVE STORM DOORS|35
1626|P667|MASTER|LOCKOUT PADLOCK|67
1627|P318|MASTER|LOCKOUT PADLOCK|67
1628|P649|MASTER|LOCKOUT PADLOCK|67
1629|P594|MASTER|LOCKOUT PADLOCK|66
1630|P525|MASTER|LOCKOUT PADLOCK|67
1631|P789|MASTER|LOCKOUT PADLOCK|66
1632|P118|MASTER|LOCKOUT PADLOCK|66
1633|JAA131|LA94369|UP APARTMENT   5|55
1634|JAA132|LA14369|NOT IN USE AT PRESENT TIME|55
1635|JAA133|LA56769|UP APARTMENTS POOL BUILDING|55
1636|JAA134|LA76769|UP APARTMENT 104|56
1637|JAA135|LA96769|UP APARTMENT  27|55
1638|JAA136|LA16769|UP APARTMENT 132|57
1639|JAA137|LA56969|UP APARTMENT  14|55
1640|D7C1|YALE|ACADEMY COUNCELOR FILE CAB|62
1641|FF|A5879A|WHM 203 ELECTRONICS AREA|67
1642|FF10|A2208A|NOT IN USE AT PRESENT TIME|66
1643|FF9|A2210A|NOT IN USE AT PRESENT TIME|66
1644|FGC|A5179A|CREEL DORMATORY MASTER- NIU|11
1645|FGC2|A2530A|CREEL GRAD ASSIST-NOT IN USE|11
1646|FGC3|A2523A|CREEL SUPERVISOR APART - NIU|11
1647|FGC4|A2534A|GASTON ROOM 118-NIU|8
1648|FH260|LC18169|10 DIPLOMA DRIVE|79
1649|AL44|LB16785|ANNEX ERIKA JORGENSEN OFFICE|40
1650|FH103|LC06655X|201 WHITE OAK DRIVE|146
1651|FH110|LC80366X|14 DIPLOMA DRIVE/OLD|81
1652|GFO 49|LA16945|GASTON 311|8
