ID,OLDID,NUMBER,KEYTYPEID
21742,22291,0,924
21743,22292,0,3227
21744,22293,0,937
21745,22294,0,1183
21746,22295,0,733
21747,22296,0,1088
21748,22297,0,2210
21749,22298,0,926
21750,22299,0,2549
21751,22300,0,763
21752,22301,0,872
21753,22302,0,204
21754,22303,0,1018
21755,22304,0,2210
21756,22305,0,926
21757,22306,0,926
21758,22307,0,2226
21759,22308,0,408
21760,22309,0,2586
21761,22310,0,926
21762,22311,0,2226
21763,22312,0,2226
21764,22313,0,832
21765,22314,0,2191
21766,22315,0,536
21767,22316,0,3355
21768,22317,0,3355
21769,22318,0,1027
21770,22319,0,391
21771,22320,0,2795
21772,22321,0,391
21773,22322,0,2565
21774,30332,20,2580
21775,30333,21,2580
21776,22325,0,2544
21777,22326,0,2350
21778,22327,0,751
21779,22328,0,926
21780,22329,0,2105
21781,22330,0,2210
21782,22331,0,2210
21783,22332,0,2226
21784,22333,0,1479
21785,22334,0,2210
21786,22335,0,2210
21787,22336,0,2453
21788,22337,0,2453
21789,22338,0,1027
21790,22339,0,1559
21791,22340,0,2210
21792,22341,0,2210
21793,22342,0,926
21794,22343,0,2210
21795,22344,0,1041
21796,22345,0,3369
21797,22346,0,926
21798,22347,0,926
21799,22348,0,2983
21800,22349,0,872
21801,22350,0,3415
21802,22351,0,2359
21803,22352,0,564
21804,22353,0,926
21805,22354,0,3021
21806,22355,0,2544
21807,22356,0,3401
21808,22357,0,926
21809,22358,0,924
21810,22359,0,3378
21811,22360,0,1760
21812,22361,0,2680
21813,22362,0,2155
21814,22363,0,2210
21815,22364,0,380
21816,22365,0,2285
21817,22366,0,415
21818,22367,0,415
21819,22368,0,767
21820,22369,0,2544
21821,22370,0,1027
21822,22371,0,924
21823,22372,0,2544
21824,22373,0,2166
21825,22374,0,3290
21826,22375,0,2984
21827,22376,0,406
21828,22377,0,3387
21829,22378,0,1942
21830,22379,0,3379
21831,22380,0,3379
21832,22381,0,380
21833,22382,0,705
21834,22383,0,2441
21835,22384,0,2101
21836,22385,0,3382
21837,22386,0,926
21838,22387,0,3009
21839,22388,0,2210
21840,22389,0,2544
21841,22390,0,2210
21842,22391,0,1085
21843,22392,0,752
21844,22393,0,2210
21845,22394,0,924
21846,22395,0,1864
21847,22396,0,2182
21848,22397,0,929
21849,22398,0,929
21850,22399,0,733
21851,22400,0,924
21852,22401,0,3207
21853,22402,0,396
21854,22403,0,2210
21855,22404,0,3379
21856,22405,0,2210
21857,22406,0,926
21858,22407,0,2008
21859,22408,0,3316
21860,22409,0,3354
21861,22410,0,2223
21862,22411,0,716
21863,22412,0,2008
21864,22413,0,924
21865,22414,0,2578
21866,22415,0,924
21867,22416,0,2210
21868,22417,0,759
21869,22418,0,2013
21870,22419,0,2565
21871,22420,0,380
21872,22421,0,527
21873,22422,0,3361
21874,22423,0,539
21875,22424,0,926
21876,22425,0,409
21877,22426,0,409
21878,22427,0,2210
21879,22428,0,2040
21880,22429,0,2209
21881,22430,0,3259
21882,22431,0,534
21883,22432,0,1659
21884,22433,0,3379
21885,22434,0,2084
21886,22435,0,3021
21887,22436,0,634
21888,22437,0,2210
21889,22438,0,767
21890,22439,0,3289
21891,22440,0,3359
21892,22441,0,926
21893,22442,0,926
21894,22443,0,2136
21895,22444,0,2033
21896,22445,0,2008
21897,22446,0,2549
21898,22447,0,1027
21899,22448,0,2080
21900,22449,0,2145
21901,22450,0,926
21902,22451,0,3391
21903,22452,0,2226
21904,22453,0,3359
21905,30334,22,2580
21906,22455,0,2210
21907,22456,0,1939
21908,22457,0,3097
21909,22458,0,2210
21910,22459,0,1500
21911,22460,0,2358
21912,22461,0,924
21913,22462,0,789
21914,22463,0,2046
21915,22464,0,425
21916,22465,0,425
21917,22466,0,4125
21918,22467,0,1480
21919,22468,0,3255
21920,22469,0,2210
21921,22470,0,2655
21922,22471,0,1930
21923,22472,0,3369
21924,22473,0,2210
21925,22474,0,384
21926,22475,0,3496
21927,22476,0,756
21928,22477,0,3369
21929,22478,0,2216
21930,22479,0,856
21931,22480,0,2210
21932,22481,0,388
21933,22482,0,1702
21934,22483,0,924
21935,22484,0,2210
21936,22485,0,2990
21937,22486,0,783
21938,22487,0,924
21939,22488,0,1091
21940,22489,0,924
21941,22490,0,2210
21942,22491,0,3480
21943,22492,0,2975
21944,22493,0,2152
21945,22494,0,2210
21946,22495,0,926
21947,22496,0,1871
21948,22497,0,1105
21949,22498,0,924
21950,22499,0,3487
21951,22500,0,3021
21952,22501,0,3021
21953,22502,0,633
21954,22503,0,2142
21955,22504,0,1904
21956,22505,0,2544
21957,22506,0,924
21958,22507,0,2312
21959,22508,0,2087
21960,22509,0,924
21961,22510,0,926
21962,22511,0,3420
21963,22512,0,924
21964,22513,0,2350
21965,22514,0,1322
21966,22515,0,2138
21967,22516,0,377
21968,22517,0,717
21969,22518,0,210
21970,22519,0,872
21971,22520,0,926
21972,22521,0,2768
21973,22522,0,2779
21974,22523,0,1906
21975,22524,0,2990
21976,22525,0,1168
21977,22526,0,1659
21978,22527,0,2061
21979,22528,0,2216
21980,22529,0,926
21981,22530,0,763
21982,22531,0,2967
21983,22532,0,2522
21984,22533,0,358
21985,22534,0,733
21986,22535,0,3429
21987,22536,0,924
21988,22537,0,3369
21989,22538,0,2107
21990,22539,0,926
21991,22540,0,412
21992,22541,0,1041
21993,22542,0,783
21994,22543,0,2544
21995,22544,0,3415
21996,22545,0,733
21997,22546,0,3698
21998,22547,0,2312
21999,22548,0,926
22000,22549,0,1996
22001,22550,0,1065
22002,22551,0,3012
22003,22552,0,1760
22004,22553,0,2210
22005,22554,0,1760
22006,22555,0,376
22007,22556,0,926
22008,22557,0,2285
22009,22558,0,2285
22010,22559,0,1937
22011,22560,0,2347
22012,22561,0,3412
22013,22562,0,1041
22014,22563,0,2593
22015,22564,0,3278
22016,22565,0,1090
22017,22566,0,205
22018,22567,0,694
22019,22568,0,659
22020,22569,0,1131
22021,30335,23,2580
22022,30336,27,266
22023,22572,0,947
22024,22573,0,2030
22025,22574,0,2033
22026,22575,0,2031
22027,22576,0,2032
22028,22577,0,2030
22029,22578,0,2031
22030,22579,0,2044
22031,22580,0,2018
22032,22581,0,2022
22033,22582,0,2051
22034,22583,0,2051
22035,22584,0,2544
22036,22585,0,2064
22037,22586,0,3327
22038,22587,0,1940
22039,22588,0,705
22040,22589,0,2549
22041,22590,0,696
22042,22591,0,3466
22043,22592,0,216
22044,22593,0,220
22045,22594,0,658
22046,22595,0,3499
22047,22596,0,1933
22048,22597,0,1698
22049,22598,0,3500
22050,22599,0,2210
22051,22600,0,2002
22052,22601,0,2145
22053,22602,0,3375
22054,22603,0,2122
22055,22604,0,780
22056,22605,0,2681
22057,22606,0,2681
22058,22607,0,3369
22059,22608,0,2082
22060,22609,0,3298
22061,22610,0,2681
22062,22611,0,1864
22063,22612,0,1875
22064,22613,0,3049
22065,22614,0,724
22066,22615,0,715
22067,22616,0,727
22068,22617,0,727
22069,22618,0,726
22070,22619,0,715
22071,22620,0,715
22072,22621,0,722
22073,22622,0,2189
22074,22623,0,385
22075,22624,0,3369
22076,22625,0,3369
22077,22626,0,926
22078,22627,0,3369
22079,22628,0,1133
22080,22629,0,1142
22081,22630,0,728
22082,22631,0,730
22083,22632,0,926
22084,22633,0,731
22085,22634,0,721
22086,22635,0,723
22087,22636,0,2210
22088,22637,0,3859
22089,22638,0,2093
22090,22639,0,1027
22091,22640,0,2196
22092,22641,0,2285
22093,22642,0,2202
22094,22643,0,2188
22095,22644,0,2198
22096,22645,0,2093
22097,22646,0,2193
22098,22647,0,2615
22099,22648,0,2527
22100,22649,0,2370
22101,22650,0,2616
22102,22651,0,3207
22103,22652,0,2210
22104,22653,0,2788
22105,22654,0,1659
22106,22655,0,1135
22107,22656,0,2265
22108,22657,0,1691
22109,22658,0,758
22110,22659,0,758
22111,22660,0,758
22112,22661,0,758
22113,22662,0,418
22114,22663,0,2684
22115,22664,0,418
22116,22665,0,2687
22117,22666,0,2145
22118,22667,0,2210
22119,30337,16,23
22120,22669,0,924
22121,22670,0,2688
22122,22671,0,926
22123,22672,0,2210
22124,22673,0,530
22125,22674,0,178
22126,22675,0,2544
22127,22676,0,2210
22128,22677,0,407
22129,22678,0,3106
22130,22679,0,882
22131,22680,0,3443
22132,22681,0,3107
22133,22682,0,926
22134,22683,0,394
22135,22684,0,439
22136,22685,0,819
22137,22686,0,2368
22138,22687,0,439
22139,22688,0,924
22140,22689,0,797
22141,22690,0,387
22142,22691,0,2697
22143,22692,0,655
22144,22693,0,929
22145,22694,0,697
22146,22695,0,962
22147,22696,0,922
22148,22697,0,929
22149,22698,0,929
22150,22699,0,929
22151,22700,0,929
22152,22701,0,3369
22153,22702,0,3190
22154,22703,0,3081
22155,22704,0,3369
22156,22705,0,3411
22157,22706,0,2213
22158,22707,0,2210
22159,22708,0,2093
22160,22709,0,926
22161,22710,0,1183
22162,22711,0,733
22163,22712,0,733
22164,22713,0,733
22165,22714,0,553
22166,22715,0,733
22167,22716,0,3369
22168,22717,0,966
22169,22718,0,2266
22170,22719,0,639
22171,22720,0,924
22172,22721,0,763
22173,22722,0,2161
22174,22723,0,733
22175,22724,0,733
22176,22725,0,733
22177,22726,0,733
22178,22727,0,733
22179,22728,0,733
22180,22729,0,733
22181,22730,0,1479
22182,22731,0,2763
22183,22732,0,3400
22184,22733,0,1065
22185,22734,0,1027
22186,22735,0,926
22187,22736,0,3438
22188,22737,0,2689
22189,22738,0,356
22190,22739,0,1591
22191,22740,0,2210
22192,22741,0,2774
22193,22742,0,694
22194,22743,0,2016
22195,22744,0,2544
22196,22745,0,937
22197,22746,0,3438
22198,22747,0,2401
22199,22748,0,357
22200,22749,0,47
22201,22750,0,2401
22202,22751,0,2103
22203,22752,0,210
22204,22753,0,3416
22205,22754,0,3151
22206,22755,0,3151
22207,22756,0,3312
22208,22757,0,2768
22209,22758,0,2352
22210,22759,0,2352
22211,22760,0,2074
22212,22761,0,2074
22213,22762,0,721
22214,22763,0,3077
22215,22764,0,2565
22216,22765,0,3267
22217,22766,0,3296
22218,22767,0,3327
22219,22768,0,2754
22220,22769,0,1478
22221,22770,0,2372
22222,22771,0,2372
22223,22772,0,3252
22224,22773,0,4130
22225,22774,0,526
22226,22775,0,2544
22227,22776,0,1039
22228,22777,0,2210
22229,22778,0,2372
22230,30338,44,4287
22231,22780,0,814
22232,22781,0,1735
22233,22782,0,2185
22234,22783,0,3072
22235,22784,0,2186
22236,22785,0,2153
22237,22786,0,2159
22238,22787,0,2070
22239,22788,0,2070
22240,22789,0,2153
22241,22790,0,2082
22242,22791,0,2153
22243,22792,0,2544
22244,22793,0,2210
22245,22794,0,2081
22246,22795,0,1591
22247,22796,0,1483
22248,22797,0,1823
22249,22798,0,1564
22250,22799,0,178
22251,22800,0,2279
22252,22801,0,4130
22253,22802,0,1091
22254,22803,0,1105
22255,30339,45,4287
22256,22805,0,1088
22257,22806,0,232
22258,22807,0,856
22259,22808,0,856
22260,22809,0,733
22261,22810,0,3438
22262,22811,0,856
22263,22812,0,1098
22264,22813,0,856
22265,22814,0,1098
22266,22815,0,2985
22267,22816,0,2010
22268,22817,0,2010
22269,22818,0,2110
22270,22819,0,2593
22271,22820,0,2129
22272,22821,0,2109
22273,22822,0,2916
22274,22823,0,926
22275,22824,0,2199
22276,22825,0,837
22277,22826,0,2186
22278,22827,0,2185
22279,22828,0,2684
22280,22829,0,2967
22281,22830,0,2047
22282,22831,0,2187
22283,22832,0,2052
22284,22833,0,2192
22285,22834,0,2191
22286,22835,0,969
22287,22836,0,969
22288,22837,0,3148
22289,22838,0,3234
22290,22839,0,3094
22291,22840,0,3475
22292,22841,0,2610
22293,22842,0,2306
22294,22843,0,2615
22295,22844,0,924
22296,22845,0,2079
22297,22846,0,2700
22298,22847,0,2544
22299,22848,0,3384
22300,22849,0,3369
22301,22850,0,1041
22302,22851,0,789
22303,22852,0,926
22304,22853,0,939
22305,22854,0,924
22306,22855,0,3214
22307,22856,0,3214
22308,22857,0,2166
22309,22858,0,2166
22310,22859,0,872
22311,22860,0,3378
22312,22861,0,2985
22313,22862,0,787
22314,22863,0,2797
22315,22864,0,3246
22316,22865,0,2995
22317,22866,0,753
22318,22867,0,2076
22319,22868,0,2349
22320,22869,0,2076
22321,22870,0,2350
22322,22871,0,1990
22323,22872,0,2354
22324,22873,0,2077
22325,22874,0,2355
22326,22875,0,2356
22327,22876,0,2357
22328,22877,0,2358
22329,22878,0,2077
22330,22879,0,2360
22331,22880,0,2090
22332,22881,0,3067
22333,22882,0,829
22334,22883,0,1036
22335,22884,0,3379
22336,22885,0,774
22337,22886,0,3067
22338,22887,0,3379
22339,22888,0,1866
22340,22889,0,1854
22341,22890,0,3423
22342,22891,0,924
22343,22892,0,1863
22344,22893,0,1855
22345,22894,0,1871
22346,22895,0,1852
22347,22896,0,1851
22348,22897,0,2975
22349,22898,0,1881
22350,22899,0,1868
22351,22900,0,1859
22352,22901,0,1860
22353,22902,0,1848
22354,22903,0,1858
22355,22904,0,1847
22356,22905,0,1872
22357,22906,0,2092
22358,22907,0,819
22359,22908,0,783
22360,22909,0,859
22361,22910,0,2010
22362,22911,0,926
22363,22912,0,797
22364,22913,0,1041
22365,22914,0,1845
22366,22915,0,926
22367,22916,0,924
22368,22917,0,2094
22369,22918,0,1035
22370,22919,0,1084
22371,22920,0,774
22372,22921,0,354
22373,22922,0,2091
22374,22923,0,926
22375,22924,0,632
22376,22925,0,2143
22377,22926,0,937
22378,22927,0,733
22379,22928,0,937
22380,22929,0,926
22381,22930,0,926
22382,22931,0,3043
22383,22932,0,2705
22384,22933,0,2210
22385,22934,0,2226
22386,22935,0,753
22387,22936,0,2807
22388,22937,0,1904
22389,22938,0,2495
22390,22939,0,2493
22391,22940,0,2005
22392,22941,0,1900
22393,22942,0,2005
22394,22943,0,1901
22395,22944,0,2227
22396,22945,0,1900
22397,22946,0,2493
22398,22947,0,2754
22399,22948,0,3267
22400,22949,0,2534
22401,22950,0,2754
22402,22951,0,2495
22403,22952,0,2813
22404,22953,0,3267
22405,22954,0,2829
22406,22955,0,3267
22407,22956,0,3267
22408,22957,0,2807
22409,22958,0,2754
22410,22959,0,228
22411,22960,0,2210
22412,22961,0,2226
22413,22962,0,926
22414,22963,0,926
22415,22964,0,2005
22416,22965,0,1900
22417,22966,0,2226
22418,22967,0,2226
22419,22968,0,2227
22420,22969,0,1902
22421,22970,0,1902
22422,22971,0,3422
22423,22972,0,2189
22424,22973,0,2189
22425,22974,0,2210
22426,22975,0,1088
22427,22976,0,2140
22428,22977,0,926
22429,22978,0,1107
22430,22979,0,2370
22431,22980,0,3074
22432,22981,0,2544
22433,22982,0,2544
22434,22983,0,2180
22435,22984,0,2210
22436,22985,0,1934
22437,22986,0,924
22438,22987,0,1919
22439,22988,0,1591
22440,22989,0,2189
22441,22990,0,2226
22442,22991,0,2527
22443,22992,0,2370
22444,22993,0,3247
22445,22994,0,1591
22446,22995,0,3247
22447,22996,0,1105
22448,22997,0,733
22449,22998,0,789
22450,22999,0,2576
22451,23000,0,2603
22452,23001,0,2226
22453,23002,0,733
22454,23003,0,733
22455,23004,0,838
22456,23005,0,1085
22457,23006,0,2768
22458,23007,0,2571
22459,23008,0,1591
22460,23009,0,1591
22461,23010,0,3460
22462,23011,0,2396
22463,23012,0,2138
22464,23013,0,1732
22465,23014,0,635
22466,23015,0,179
22467,23016,0,926
22468,23017,0,937
22469,23018,0,2441
22470,23019,0,2614
22471,23020,0,2614
22472,23021,0,2215
22473,23022,0,2215
22474,23023,0,2012
22475,23024,0,2215
22476,23025,0,2215
22477,23026,0,924
22478,23027,0,3269
22479,23028,0,3310
22480,23029,0,3310
22481,23030,0,3298
22482,23031,0,2573
22483,23032,0,2041
22484,23033,0,2210
22485,23034,0,1435
22486,23035,0,1105
22487,23036,0,717
22488,23037,0,855
22489,23038,0,2104
22490,23039,0,926
22491,23040,0,2210
22492,23041,0,2210
22493,23042,0,1591
22494,23043,0,2210
22495,30341,47,4287
22496,23045,0,3451
22497,23046,0,1868
22498,23047,0,2079
22499,23048,0,2544
22500,23049,0,926
22501,23050,0,2210
22502,23051,0,2210
22503,23052,0,1591
22504,23053,0,926
22505,23054,0,926
22506,23055,0,2971
22507,23056,0,2973
22508,23057,0,1793
22509,23058,0,792
22510,23059,0,2355
22511,23060,0,783
22512,23061,0,924
22513,23062,0,924
22514,23063,0,2210
22515,23064,0,872
22516,23065,0,2176
22517,23066,0,3199
22518,30340,46,4287
22519,23068,0,924
22520,23069,0,534
22521,23070,0,2166
22522,23071,0,1103
22523,23072,0,926
22524,23073,0,926
22525,23074,0,367
22526,23075,0,2210
22527,23076,0,926
22528,23077,0,2210
22529,23078,0,2544
22530,23079,0,2173
22531,23080,0,926
22532,23081,0,822
22533,23082,0,2807
22534,23083,0,926
22535,23084,0,3329
22536,23085,0,2175
22537,23086,0,1087
22538,23087,0,2807
22539,23088,0,422
22540,23089,0,1591
22541,23090,0,1591
22542,23091,0,2210
22543,23092,0,926
22544,23093,0,2210
22545,23094,0,926
22546,23095,0,926
22547,23096,0,926
22548,23097,0,1591
22549,23098,0,926
22550,23099,0,926
22551,23100,0,926
22552,23101,0,1183
22553,23102,0,1591
22554,23103,0,1591
22555,23104,0,1591
22556,23105,0,1591
22557,23106,0,926
22558,23107,0,874
22559,23108,0,874
22560,23109,0,926
22561,23110,0,1591
22562,23111,0,2807
22563,23112,0,423
22564,23113,0,423
22565,23114,0,1589
22566,23115,0,926
22567,23116,0,2544
22568,23117,0,1591
22569,23118,0,937
22570,23119,0,2210
22571,23120,0,2210
22572,23121,0,2663
22573,23122,0,926
22574,23123,0,2145
22575,23124,0,1591
22576,23125,0,571
22577,23126,0,2208
22578,23127,0,2211
22579,23128,0,2210
22580,23129,0,926
22581,23130,0,926
22582,23131,0,1591
22583,23132,0,1591
22584,23133,0,2145
22585,23134,0,756
22586,23135,0,564
22587,23136,0,2802
22588,23137,0,566
22589,23138,0,566
22590,23139,0,2266
22591,23140,0,763
22592,30343,5,4410
22593,23142,0,1591
22594,23143,0,366
22595,23144,0,2813
22596,23145,0,650
22597,23146,0,1877
22598,23147,0,2418
22599,23148,0,208
22600,23149,0,1103
22601,23150,0,2210
22602,23151,0,1591
22603,23152,0,924
22604,23153,0,2544
22605,23154,0,926
22606,23155,0,2091
22607,23156,0,2096
22608,23157,0,2096
22609,23158,0,2095
22610,23159,0,753
22611,23160,0,753
22612,23161,0,722
22613,23162,0,753
22614,23163,0,753
22615,23164,0,2103
22616,23165,0,2442
22617,23166,0,2107
22618,23167,0,3061
22619,23168,0,2107
22620,23169,0,2107
22621,23170,0,2108
22622,23171,0,2108
22623,23172,0,1041
22624,23173,0,1591
22625,23174,0,3365
22626,23175,0,3400
22627,23176,0,763
22628,23177,0,2442
22629,23178,0,3491
22630,23179,0,3400
22631,23180,0,3491
22632,23181,0,733
22633,23182,0,733
22634,23183,0,733
22635,23184,0,733
22636,23185,0,3405
22637,23186,0,3405
22638,23187,0,3405
22639,23188,0,3405
22640,23189,0,838
22641,23190,0,3289
22642,23191,0,2054
22643,23192,0,3090
22644,23193,0,924
22645,23194,0,2219
22646,23195,0,2681
22647,23196,0,1134
22648,30342,48,4287
22649,23198,0,960
22650,23199,0,3355
22651,23200,0,2655
22652,23201,0,2813
22653,23202,0,926
22654,23203,0,1921
22655,23204,0,926
22656,23205,0,1664
22657,23206,0,1591
22658,23207,0,926
22659,23208,0,783
22660,23209,0,515
22661,23210,0,2548
22662,23211,0,515
22663,23212,0,1085
22664,23213,0,2544
22665,23214,0,3493
22666,23215,0,926
22667,23216,0,3494
22668,23217,0,2573
22669,30346,5,2386
22670,23219,0,2210
22671,23220,0,2020
22672,23221,0,2215
22673,23222,0,2215
22674,23223,0,2215
22675,23224,0,2349
22676,23225,0,837
22677,23226,0,1706
22678,23227,0,3475
22679,23228,0,2019
22680,23229,0,2154
22681,23230,0,2104
22682,23231,0,2768
22683,23232,0,724
22684,23233,0,726
22685,23234,0,730
22686,23235,0,2196
22687,23236,0,2196
22688,23237,0,2202
22689,23238,0,2202
22690,23239,0,720
22691,23240,0,1903
22692,23241,0,1903
22693,23242,0,3417
22694,23243,0,3417
22695,23244,0,2144
22696,23245,0,2013
22697,23246,0,753
22698,23247,0,3357
22699,23248,0,2040
22700,23249,0,3418
22701,23250,0,2210
22702,23251,0,926
22703,23252,0,924
22704,23253,0,2037
22705,23254,0,2038
22706,23255,0,2039
22707,23256,0,2144
22708,23257,0,924
22709,23258,0,1091
22710,23259,0,2210
22711,23260,0,3413
22712,23261,0,3414
22713,23262,0,2544
22714,23263,0,1105
22715,23264,0,412
22716,30347,6,2386
22717,23266,0,2138
22718,23267,0,801
22719,23268,0,926
22720,23269,0,2522
22721,23270,0,3393
22722,23271,0,800
22723,23272,0,3395
22724,23273,0,3394
22725,23274,0,783
22726,23275,0,3180
22727,23276,0,3386
22728,23277,0,1041
22729,23278,0,3285
22730,23279,0,801
22731,23280,0,423
22732,23281,0,2144
22733,23282,0,2144
22734,23283,0,2144
22735,23284,0,3032
22736,23285,0,390
22737,23286,0,3276
22738,23287,0,3281
22739,23288,0,3281
22740,23289,0,2086
22741,23290,0,926
22742,23291,0,806
22743,23292,0,2995
22744,23293,0,1591
22745,23294,0,859
22746,23295,0,1356
22747,23296,0,1591
22748,23297,0,926
22749,23298,0,1591
22750,23299,0,1471
22751,23300,0,1591
22752,23301,0,521
22753,23302,0,2023
22754,23303,0,2027
22755,30344,3,4450
22756,23305,0,1707
22757,23306,0,926
22758,23307,0,527
22759,30345,3,4470
22760,30348,10,349
22761,23310,0,1681
22762,23311,0,819
22763,23312,0,1684
22764,30349,12,334
22765,23314,0,3011
22766,30350,13,334
22767,23316,0,926
22768,23317,0,929
22769,23318,0,521
22770,30351,26,4179
22771,23320,0,2285
22772,23321,0,783
22773,23322,0,926
22774,23323,0,2593
22775,23324,0,2311
22776,23325,0,1690
22777,23326,0,1693
22778,23327,0,3379
22779,23328,0,926
22780,23329,0,1705
22781,23330,0,1788
22782,30352,27,4179
22783,30353,6,3406
22784,23333,0,1693
22785,23334,0,1790
22786,23335,0,2984
22787,23336,0,2593
22788,23337,0,3415
22789,23338,0,2614
22790,23339,0,1681
22791,23340,0,651
22792,23341,0,651
22793,23342,0,2027
22794,23343,0,3480
22795,23344,0,1794
22796,23345,0,1591
22797,30354,7,3406
22798,23347,0,926
22799,23348,0,2541
22800,23349,0,763
22801,23350,0,1763
22802,23351,0,1591
22803,23352,0,3256
22804,23353,0,550
22805,23354,0,447
22806,23355,0,767
22807,23356,0,767
22808,23357,0,767
22809,23358,0,2008
22810,23359,0,447
22811,23360,0,3021
22812,23361,0,756
22813,23362,0,3375
22814,23363,0,2350
22815,23364,0,1453
22816,23365,0,1453
22817,23366,0,1453
22818,23367,0,2311
22819,23368,0,2008
22820,23369,0,926
22821,23370,0,924
22822,23371,0,926
22823,23372,0,3359
22824,23373,0,2189
22825,23374,0,1881
22826,23375,0,924
22827,23376,0,733
22828,23377,0,3329
22829,23378,0,3276
22830,23379,0,1558
22831,23380,0,2981
22832,23381,0,2394
22833,23382,0,2394
22834,23383,0,3071
22835,23384,0,1105
22836,23385,0,3285
22837,23386,0,3021
22838,23387,0,3285
22839,23388,0,2210
22840,23389,0,1471
22841,23390,0,2210
22842,23391,0,1032
22843,23392,0,1924
22844,23393,0,826
22845,23394,0,2104
22846,23395,0,2011
22847,23396,0,2700
22848,23397,0,913
22849,23398,0,668
22850,23399,0,668
22851,23400,0,671
22852,30355,10,4151
22853,23402,0,669
22854,23403,0,670
22855,23404,0,441
22856,23405,0,926
22857,23406,0,926
22858,23407,0,2983
22859,23408,0,2431
22860,23409,0,1134
22861,23410,0,2980
22862,23411,0,2283
22863,23412,0,2311
22864,23413,0,2279
22865,23414,0,2280
22866,23415,0,2280
22867,23416,0,2283
22868,23417,0,2280
22869,23418,0,2279
22870,23419,0,2316
22871,23420,0,716
22872,23421,0,926
22873,23422,0,2210
22874,23423,0,2210
22875,23424,0,795
22876,23425,0,3071
22877,23426,0,2980
22878,23427,0,2980
22879,23428,0,1925
22880,23429,0,705
22881,23430,0,1591
22882,23431,0,783
22883,23432,0,377
22884,23433,0,2970
22885,23434,0,644
22886,23435,0,1236
22887,30356,11,4151
22888,23437,0,948
22889,23438,0,433
22890,23439,0,872
22891,23440,0,763
22892,23441,0,3474
22893,23442,0,2512
22894,23443,0,2512
22895,23444,0,833
22896,23445,0,1997
22897,23446,0,846
22898,23447,0,3328
22899,23448,0,2590
22900,23449,0,178
22901,23450,0,1904
22902,23451,0,637
22903,23452,0,1938
22904,23453,0,3467
22905,23454,0,1928
22906,23455,0,2268
22907,23456,0,3468
22908,23457,0,3469
22909,23458,0,3012
22910,23459,0,3354
22911,23460,0,3369
22912,23461,0,926
22913,23462,0,1930
22914,23463,0,1591
22915,23464,0,3389
22916,23465,0,354
22917,23466,0,3012
22918,23467,0,367
22919,23468,0,2357
22920,23469,0,3353
22921,23470,0,924
22922,23471,0,926
22923,23472,0,1860
22924,23473,0,924
22925,23474,0,2356
22926,23475,0,924
22927,23476,0,1591
22928,23477,0,2210
22929,30358,38,2431
22930,23479,0,3472
22931,23480,0,3027
22932,23481,0,926
22933,23482,0,1103
22934,23483,0,1103
22935,23484,0,716
22936,23485,0,2008
22937,23486,0,2008
22938,23487,0,2645
22939,23488,0,2962
22940,23489,0,924
22941,23490,0,774
22942,23491,0,3353
22943,23492,0,2140
22944,23493,0,2210
22945,23494,0,3062
22946,23495,0,3062
22947,23496,0,1497
22948,23497,0,569
22949,23498,0,2556
22950,23499,0,387
22951,23500,0,846
22952,23501,0,3495
22953,23502,0,783
22954,23503,0,841
22955,23504,0,3327
22956,23505,0,1904
22957,23506,0,2028
22958,23507,0,2034
22959,23508,0,352
22960,23509,0,2544
22961,23510,0,2590
22962,23511,0,2108
22963,23512,0,3460
22964,23513,0,3460
22965,23514,0,3460
22966,23515,0,1103
22967,23516,0,1204
22968,23517,0,2544
22969,23518,0,1550
22970,23519,0,3119
22971,23520,0,3120
22972,23521,0,2210
22973,23522,0,2210
22974,23523,0,3439
22975,23524,0,3183
22976,23525,0,1591
22977,23526,0,1591
22978,23527,0,1591
22979,23528,0,2544
22980,23529,0,733
22981,23530,0,924
22982,23531,0,926
22983,23532,0,413
22984,23533,0,2210
22985,23534,0,2210
22986,23535,0,926
22987,23536,0,650
22988,23537,0,926
22989,23538,0,1591
22990,23539,0,926
22991,23540,0,1591
22992,23541,0,926
22993,23542,0,926
22994,23543,0,1322
22995,23544,0,1591
22996,23545,0,926
22997,23546,0,389
22998,23547,0,702
22999,23548,0,2210
23000,23549,0,2653
23001,23550,0,2210
23002,23551,0,3121
23003,23552,0,1023
23004,23553,0,389
23005,23554,0,926
23006,23555,0,926
23007,23556,0,1591
23008,23557,0,1591
23009,23558,0,926
23010,23559,0,2699
23011,23560,0,2023
23012,23561,0,2027
23013,23562,0,926
23014,23563,0,3183
23015,23564,0,3229
23016,23565,0,1041
23017,23566,0,789
23018,23567,0,929
23019,23568,0,707
23020,23569,0,2210
23021,23570,0,2179
23022,23571,0,569
23023,30357,12,4151
23024,23573,0,2210
23025,23574,0,2497
23026,23575,0,437
23027,23576,0,924
23028,23577,0,1872
23029,23578,0,2060
23030,23579,0,1591
23031,23580,0,3146
23032,23581,0,805
23033,23582,0,2104
23034,23583,0,203
23035,23584,0,203
23036,23585,0,3414
23037,23586,0,2101
23038,23587,0,434
23039,23588,0,2065
23040,23589,0,926
23041,23590,0,1591
23042,23591,0,2138
23043,23592,0,872
23044,23593,0,2138
23045,23594,0,1683
23046,23595,0,3285
23047,23596,0,2280
23048,23597,0,2796
23049,23598,0,924
23050,23599,0,2663
